iteration,published_at,received_at,latency_ms,route_id,target_exit_id
1,2026-08-21T10:03:06.041678+00:00,2026-08-21T10:03:06.067457+00:00,25.445,01M0HWCBYK71W15YZB2TJKP5JN,trunk-aft
2,2026-08-21T10:03:21.691161+00:00,2026-08-21T10:03:21.700096+00:00,8.312,01M0HWCV73SV97QXCCECKYX26M,trunk-fwd
3,2026-08-21T10:03:37.319085+00:00,2026-08-21T10:03:37.328435+00:00,8.760,01M0HWDAFGZ70GN4CHY4P53TJ4,trunk-aft
4,2026-08-21T10:03:52.948403+00:00,2026-08-21T10:03:52.958322+00:00,8.976,01M0HWDSQX7G5BB1K5JX3FP8TB,trunk-fwd
5,2026-08-21T10:04:08.579528+00:00,2026-08-21T10:04:08.589530+00:00,8.790,01M0HWE90DGXDE3CB8FP8JERPE,trunk-aft
6,2026-08-21T10:04:24.211491+00:00,2026-08-21T10:04:24.222433+00:00,9.547,01M0HWER8Y3KH38YC3923FQ2ZC,trunk-fwd
7,2026-08-21T10:04:39.842343+00:00,2026-08-21T10:04:39.848800+00:00,5.871,01M0HWF7H893YP8GNWY0W3TWZR,trunk-aft
8,2026-08-21T10:04:55.470487+00:00,2026-08-21T10:04:55.479917+00:00,8.615,01M0HWFPSQ1RYZFH2K0B5GBAKT,trunk-fwd
9,2026-08-21T10:05:11.102753+00:00,2026-08-21T10:05:11.111124+00:00,7.889,01M0HWG6260CQ4JY2YADBSMBST,trunk-aft
10,2026-08-21T10:05:26.728915+00:00,2026-08-21T10:05:26.735334+00:00,5.963,01M0HWGNAF3G5TF6ACMJK7HJX4,trunk-fwd
11,2026-08-21T10:05:42.359165+00:00,2026-08-21T10:05:42.368912+00:00,8.944,01M0HWH4K0YFMF4EBF6PPMQ749,trunk-aft
12,2026-08-21T10:05:57.987843+00:00,2026-08-21T10:05:57.995032+00:00,6.622,01M0HWHKVA2M17BGVS8ZQVG5A7,trunk-fwd
13,2026-08-21T10:06:13.613536+00:00,2026-08-21T10:06:13.620280+00:00,6.182,01M0HWJ33KT43TWQFH2XDV62C8,trunk-aft
14,2026-08-21T10:06:29.243276+00:00,2026-08-21T10:06:29.252157+00:00,8.139,01M0HWJJC3KRT335S9XNAXQ8KV,trunk-fwd
15,2026-08-21T10:06:44.873757+00:00,2026-08-21T10:06:44.882141+00:00,7.828,01M0HWK1MHSPG59BW9M0SEDR62,trunk-aft
16,2026-08-21T10:07:00.505882+00:00,2026-08-21T10:07:00.513285+00:00,6.748,01M0HWKGX1P5398NJB14SMKCWZ,trunk-fwd
17,2026-08-21T10:07:16.135203+00:00,2026-08-21T10:07:16.142461+00:00,6.572,01M0HWM05E403YHMXN3SH11CCA,trunk-aft
18,2026-08-21T10:07:31.762311+00:00,2026-08-21T10:07:31.768933+00:00,6.126,01M0HWMFDREZ0N89ERMVB22VZF,trunk-fwd
19,2026-08-21T10:07:47.387092+00:00,2026-08-21T10:07:47.395033+00:00,7.436,01M0HWMYP2G2PWXJYPZ5EJXXVC,trunk-aft
20,2026-08-21T10:08:03.018980+00:00,2026-08-21T10:08:03.029630+00:00,9.859,01M0HWNDYNR78J8KS0VWD97PST,trunk-fwd
21,2026-08-21T10:08:18.649705+00:00,2026-08-21T10:08:18.655638+00:00,5.392,01M0HWNX6Z9PNS6E5N3S3P85CG,trunk-aft
22,2026-08-21T10:08:34.275685+00:00,2026-08-21T10:08:34.283300+00:00,7.125,01M0HWPCFB2NSW15AP08DMX0MW,trunk-fwd
23,2026-08-21T10:08:49.902622+00:00,2026-08-21T10:08:49.913142+00:00,9.813,01M0HWPVQRVN5A5RK33FB2FQVV,trunk-aft
24,2026-08-21T10:09:05.536284+00:00,2026-08-21T10:09:05.546308+00:00,9.076,01M0HWQB09EPWKHSZW0V112GWM,trunk-fwd
25,2026-08-21T10:09:21.168756+00:00,2026-08-21T10:09:21.178532+00:00,8.792,01M0HWQT8T05TMC1ESZB9VNW4B,trunk-aft
26,2026-08-21T10:09:36.796745+00:00,2026-08-21T10:09:36.804358+00:00,7.165,01M0HWR9H3A0HDFPM9VDZFJDW2,trunk-fwd
27,2026-08-21T10:09:52.425118+00:00,2026-08-21T10:09:52.431627+00:00,5.874,01M0HWRRSFRKNB5QVQBS4D6ZP0,trunk-aft
28,2026-08-21T10:10:08.051823+00:00,2026-08-21T10:10:08.058747+00:00,6.343,01M0HWS81TAKVWPGGPKPDPM3CD,trunk-fwd
29,2026-08-21T10:10:23.682058+00:00,2026-08-21T10:10:23.689637+00:00,6.919,01M0HWSQA9Z8ADXVZBNG7BV6FC,trunk-aft
30,2026-08-21T10:10:39.306828+00:00,2026-08-21T10:10:39.313597+00:00,6.268,01M0HWT6JHJYG0XCWDHBG7ZBH8,trunk-fwd
